Ashes and Diamonds,Andrzej Wajda,103,10/3/1958
At the Edge of the World,Dan Stone  Patrick Gambuti Jr.,90,2008-09
Atlantic City,Louis Malle,104,9/2/1980
Atlantis: The Lost Empire,Gary Trousdale  Kirk Wise,95,6/3/2001
Atonement,Joe Wright,123,8/28/2007
Au Hasard Balthazar,Robert Bresson,95,5/25/1966
Au Revoir Les Enfants,Louis Malle,104,8/29/1987
Audition,Takashi Miike,115,10/6/1999
Avatar,James Cameron,162,12/10/2009
Awakenings,Penny Marshall,121,12/12/1990
Babe,Chris Noonan,89,8/4/1995
Babes in Arms,Busby Berkeley,94,9/15/1939
Babette's Feast,Gabriel Axel,102,1987-05
Baby Mama,Michael McCullers,99,4/23/2008
Bachelorette,Leslye Headland,87,40931
Back to the Future,Robert Zemeckis,116,7/3/1985
Back to the Future Part II,Robert Zemeckis,108,11/20/1989
Backbeat,Iain Softley,100,1994-01
Bad Day at Black Rock,John Sturges,81,1/7/1955
Badlands,Terrence Malick,94,10/13/1973
Bajo California: El lÃ­mite del tiempo,Carlos Bolado MuÃ±oz,96,9/8/1998
Bambi,James Algar  Sam Armstrong,70,8/8/1942
Baraka,Ron Fricke,96,9/15/1992
Barbershop,Tim Story,102,8/7/2002
Barney's Version,Richard J. Lewis,134,9/10/2010
Barren Lives,Nelson Pereira dos Santos,103,8/22/1963
Barry Lyndon,Stanley Kubrick,184,12/18/1975
Bartleby,Jonathan Parker,83,3/10/2001
Basquiat,Julian Schnabel,108,8/9/1996
Bastards,Claire Denis,83,
Batman,Tim Burton,126,6/19/1989
Batman Begins,Christopher Nolan,140,6/10/2005
Battle Royale,Kinji Fukasaku,114,12/16/2000
Battleship Potemkin,Sergei M. Eisenstein,75,12/24/1925
Beasts of the Southern Wild,Benh Zeitlin,93,
Beat the Devil,John Huston,89,11/24/1953
Beau Travail,Claire Denis,93,9/4/1999
Beautiful Girls,Ted Demme,112,2/9/1996
Beauty and the Beast,Jean Cocteau,96,1946-09
Beetlejuice,Tim Burton,92,3/29/1988
Before Night Falls,Julian Schnabel,133,9/3/2000
Before Sunrise,Richard Linklater,105,1/27/1995
Before Sunset,Richard Linklater,80,2/10/2004
Before the Revolution,Bernardo Bertolucci,115,5/12/1964
Befrielsesbilleder,Lars von Trier,57,6/30/1982
Beginners,Mike Mills,105,
Being John Malkovich,Spike Jonze,112,9/2/1999
Being There,Hal Ashby,130,12/19/1979
Bell Book and Candle,Richard Quine,106,
Belle de Jour,Luis Buñuel,101,5/24/1967
Below,David Twohy,105,10/11/2002
Ben-Hur,William Wyler,212,11/18/1959
Bend It Like Beckham,Gurinder Chadha,112,4/11/2002
Benny & Joon,Jeremiah Chechik,98,4/16/1993
Beowulf,Graham Baker,95,4/1/1999
Bernie,Richard Linklater,99,6/16/2011
Best in Show,Christopher Guest,90,9/8/2000
Bettie Page Reveals All,Mark Mori,101,
Beverly Hills Cop,Martin Brest,105,12/1/1984
Bewitched,Nora Ephron,102,6/24/2005
Beyond,Pernilla August,99,40427
Beyond the Sea,Kevin Spacey,118,9/11/2004
Bicycle Thieves,Vittorio De Sica,93,11/24/1948
Big,Penny Marshall,104,6/3/1988
Big Eden,Thomas Bezucha,118,4/18/2000
Big Fish,Tim Burton,125,12/10/2003
Big Jake,George Sherman,110,5/26/1971
Big Trouble,Barry Sonnenfeld,85,4/2/2002
Bigger Than Life,Nicholas Ray,95,8/2/1956
Biker Boyz,Reggie Rock Bythewood,110,1/31/2003
Bill & Ted's Excellent Adventure,Stephen Herek,90,2/17/1989
Billy Elliot,Stephen Daldry,110,5/19/2000
Billy Jack,T.C. Frank,114,5/1/1971
Birdemic 2: The Resurrection,James Nguyen,90,4/10/2013
Birdemic: Shock and Terror,James Nguyen,90,2/27/2010
Birth,Jonathan Glazer,100,9/8/2004
Bitter Rice,Giuseppe De Santis,108,9/21/1949
Bitter Sweetheart,Catherine Breillat,,39115
Biutiful,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,148,5/17/2010
Black Belt Jones,Robert Clouse,87,1/28/1974
Black Dynamite,Scott Sanders,84,1/18/2009
Black God  White Devil,Glauber Rocha,120,7/10/1964
Black Hawk Down,Ridley Scott,144,12/18/2001
Black Narcissus,Michael Powell  Emeric Pressburger,100,4/24/1947
Black Orpheus,Marcel Camus,100,6/12/1959
Black Sheep,Penelope Spheeris,87,2/2/1996
Black Sunday,Mario Bava,87,8/11/1960
Black Swan,Darren Aronofsky,108,9/1/2010
Blackbird,Adam Rapp,,3/12/2007
Blackboard Jungle,Richard Brooks,101,3/19/1955
Blackfish,Gabriela Cowperthwaite,83,
Blackmail,Alfred Hitchcock,85,6/30/1929
Blade,Stephen Norrington,120,8/19/1998
Blade II,Guillermo del Toro,117,3/21/2002
Blade Runner,Ridley Scott,117,6/25/1982
Blades of Glory,Josh Gordon  Will Speck,93,3/30/2007
Blazing Saddles,Mel Brooks,93,2/7/1974
Bless the Child,Chuck Russell,107,8/11/2000
Blind Spot. Hitler's Secretary,AndrÃ© Heller  Othmar Schmiderer,90,2/10/2002
Blood Diamond,Edward Zwick,143,12/8/2006
Blood Diner,Catherine Breillat,88,1987-07
Bloody Sunday,Paul Greengrass,107,1/16/2002
Blow,Ted Demme,124,3/29/2001
Blow-Up,Michelangelo Antonioni,111,12/18/1966
Blue Is the Warmest Color,Abdellatif Kechiche,179,5/23/2013
Blue Jasmine,Woody Allen,98,7/26/2013
Blue Valentine,Derek Cianfrance,112,1/24/2010
Blue Velvet,David Lynch,120,1986-08
Blush (Hong fen),Shaohong Li,115,
BMX Bandits,Brian Trenchard-Smith,88,12/29/1983
Bob & Carol & Ted & Alice,Paul Mazursky,105,9/17/1969
Bob le Flambeur,Jean-Pierre Melville,98,8/24/1956
Bob Roberts,Tim Robbins,102,9/4/1992
Bobby Fischer Against the World,Liz Garbus,93,2011-01
Bobby Jones: Stroke of Genius,Rowdy Herrington,120,4/30/2004
Body Heat,Lawrence Kasdan,113,8/28/1981
Bollywood/Hollywood,Deepa Mehta,105,
Bolt,Byron Howard  Chris Williams,96,11/17/2008
Bonnie and Clyde,Arthur Penn,112,8/4/1967
Boogie Nights,Paul Thomas Anderson,155,9/11/1997
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,84,8/4/2006
Born Into Brothels: Calcutta's Red Light Kids,Zana Briski  Ross Kauffman,85,1/17/2004
Boudu Saved from Drowning,Jean Renoir,85,11/11/1932
Bound,Andy Wachowski  Lana Wachowski,108,
Bowfinger,Frank Oz,97,8/13/1999
Bowling for Columbine,Michael Moore,120,
Box of Moon Light,Tom DiCillo,112,8/29/1996
Boy A,John Crowley,106,9/8/2007
Boyz n the Hood,John Singleton,112,7/2/1991
BrÃ¼no,Larry Charles,81,6/25/2009
Braveheart,Mel Gibson,177,5/18/1995
Brazil,Terry Gilliam,132,2/20/1985
Breakfast at Tiffany's,Blake Edwards,115,10/5/1961
Breaking Away,Peter Yates,101,7/13/1979
Breaking the Waves,Lars von Trier,159,5/18/1996
